Year,Avg Length
1880,5.466234622144112
1881,5.46682236896703
1882,5.454859807544112
1883,5.433775102843131
1884,5.448227563548332
1885,5.429833719538591
1886,5.412638223297508
1887,5.416847170158177
1888,5.453215375074357
1889,5.418411247388859
1890,5.433217646874902
1891,5.43720375175151
1892,5.38675677317123
1893,5.406534750759335
1894,5.414569947410375
1895,5.432138598221061
1896,5.447602606619522
1897,5.466461778623348
1898,5.456592687753569
1899,5.493990096080303
1900,5.489788497439627
1901,5.504764031146214
1902,5.546315211112833
1903,5.5997925461343625
1904,5.582327307793779
1905,5.586952599535939
1906,5.594192406026858
1907,5.581916080669198
1908,5.591476519590369
1909,5.615907310160874
1910,5.61588703000939
1911,5.646542919146237
1912,5.689631145372118
1913,5.71721348370031
1914,5.718880289303242
1915,5.730902565647209
1916,5.743151087360024
1917,5.752811008610873
1918,5.756193078804697
1919,5.756642655398954
1920,5.7644999575823395
1921,5.769894727040631
1922,5.774789246363648
1923,5.777412806286046
1924,5.772495826289207
1925,5.766857078128035
1926,5.757718132234247
1927,5.758092069844743
1928,5.761392744782736
1929,5.7488537858407485
1930,5.739617166579294
1931,5.738621690539826
1932,5.728393109656507
1933,5.726241158259271
1934,5.7226202181384265
1935,5.736911563705911
1936,5.734839791898177
1937,5.7312403520848285
1938,5.730820066136446
1939,5.73133371246703
1940,5.720611803346783
1941,5.725448950705896
1942,5.738299622326288
1943,5.731006133913116
1944,5.727258380166919
1945,5.71850221992697
1946,5.732099492494494
1947,5.727864531305175
1948,5.748168465806378
1949,5.787241781185007
1950,5.798232929848417
1951,5.80431293468867
1952,5.799507264915748
1953,5.785059430947546
1954,5.757303353750544
1955,5.744711184163411
1956,5.727351639236717
1957,5.697631261486355
1958,5.669790013558127
1959,5.6460123426256414
1960,5.649554253292843
1961,5.6589190346481235
1962,5.6602787552816505
1963,5.669236007463243
1964,5.69473744559246
1965,5.7297250499137204
1966,5.773973717379767
1967,5.800280647996177
1968,5.820875545664238
1969,5.8411129490868205
1970,5.869203564012107
1971,5.901394502307937
1972,5.951403934526968
1973,5.966245621893814
1974,5.9782230729302395
1975,5.985067497530897
1976,5.991560204226103
1977,6.000655557751358
1978,6.039981124737224
1979,6.05672150462887
1980,6.068014097507508
1981,6.093744233532481
1982,6.1307473425685
1983,6.149784047959789
1984,6.168385180890616
1985,6.18080882736489
1986,6.189802529500595
1987,6.20080251028864
1988,6.218348140364803
1989,6.227970916769901
1990,6.2232069459824855
1991,6.211597718106032
1992,6.209873643216401
1993,6.1960352816859
1994,6.18876148735629
1995,6.171406777356253
1996,6.17106524904983
1997,6.155356073035402
1998,6.133309186276466
1999,6.107780381103015
2000,6.088342164132029
2001,6.063117872208231
2002,6.037596775296348
2003,5.99575476637684
2004,5.975055196142875
2005,5.950270846213959
2006,5.950908825983661
2007,5.944002935434786
2008,5.933908459619874
2009,5.9250721074578525
2010,5.9089570913373075
2011,5.893927343743096
2012,5.875218420526409
2013,5.866806879398659
2014,5.863758929076072
